[16:48:57] [main/INFO]: ModLauncher running: args [--username, kaito06241234, --version, forge-43.2.14, --gameDir, C:\Users\niino\curseforge\minecraft\Instances\Chunk Block, --assetsDir, C:\Users\niino\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 6b3bab0743834251b460ff32b472be15, --accessToken, ????????, --clientId, MjdkODQ2N2ItMDRhZS00NzJkLWJlMTItZmQ0OWIzMWEyZjkw, --xuid, 2535473698352415, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.14, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[16:48:57] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[16:49:01] [main/INFO]: Found mod file CraftTweaker-forge-1.19.2-10.1.46.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file CreativeCore_FORGE_v2.9.4_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Croptopia-1.19.2-FORGE-2.2.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Cucumber-1.19.2-6.0.7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file customportalapi-0.0.1-beta50-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file CyclopsCore-1.19.2-1.18.6.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file DarkUtilities-Forge-1.19.2-13.1.9.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file drippyloadingscreen_forge_2.2.2_MC_1.19.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file DungeonCrawl-1.19-2.3.12.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file dynamiclights-1.19.2.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file easy_mob_farm_1.19.2-5.3.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file easy_piglins-1.19.2-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file easy_villagers-1.19.2-1.0.11.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file EasyMagic-v4.3.3-1.19.2-Forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file EdivadLib-1.19.2-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file elevatorid-1.19.2-1.8.9.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file EnderStorage-1.19.2-2.10.1.181-universal.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Enhanced_Celestials-forge-1.19.2-2.1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file EnhancedVisuals_FORGE_v1.5.9_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file entangled-1.3.14-forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file EvilCraft-1.19.2-1.2.24.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file expandedstorage-8.3.4+1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ExtendedCrafting-1.19.2-5.1.7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ExtraStorage-1.19.2-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file fancymenu_forge_2.14.7_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file farmingforblockheads-forge-1.19.2-11.3.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file FastLeafDecay-30.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file FluxNetworks-1.19.2-7.1.4.13.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file fm_audio_extension_forge_1.1.1-1_MC_1.19.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ForgeEndertech-1.19.2-10.0.6.1-build.0897.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file forgivingvoid-forge-1.19-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftb-chunks-forge-1902.3.22-build.271.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftb-library-forge-1902.3.19-build.214.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftb-quests-forge-1902.4.18-build.244.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftb-ranks-forge-1902.1.15-build.77.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftb-teams-forge-1902.2.14-build.123.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftb-ultimine-forge-1902.4.1-build.90.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ftbbackups2-forge-1.19.2-1.0.19.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file glassential-forge-1.19-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file HealthOverlay-1.19.2-7.2.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file hexerei-0.3.2.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file hourglass-1.19.1-1.2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Iceberg-1.19.2-forge-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file IntegratedCrafting-1.19.2-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file IntegratedDynamics-1.19.2-1.16.8.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file IntegratedTerminals-1.19.2-1.4.7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file IntegratedTunnels-1.19.2-1.8.20.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file item-filters-forge-1902.2.9-build.51.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ItemPhysicLite_FORGE_v1.5.2_mc1.19.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1016.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file JustEnoughResources-1.19.2-1.1.0.179.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file keepmysoiltilled-1.19.2-2.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file konkrete_forge_1.6.1_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file letmedespawn-1.18.x-1.19.x-forge-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file libraryferret-forge-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file lootr-1.19-0.4.24.62.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file luggage-1.19-1.6.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file macawsbridgesbop-1.19.2-1.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file macawsroofsbop-1.19.2-1.4.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file macawsroofsbyg-1.19.2-1.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file MagicMirror-1.19.2-1.0.3.608.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file matc-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file material_elements_1.19.2-6.3.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-bridges-2.1.0-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-doors-1.0.9forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-fences-1.0.7-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-furniture-3.1.0-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-lights-1.0.6-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-paintings-1.0.4-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-paths-1.0.3forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-roofs-2.2.4-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-trapdoors-1.1.1-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcw-windows-2.1.1-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcwfencesbop-1.19.2-1.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcwfencesbyg-1.19.2-1.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mcwfurnituresbop-1.19.2-1.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Mekanism-1.19.2-10.3.8.477.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file MekanismGenerators-1.19.2-10.3.8.477.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file merequester-1.19.2-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file mob_grinding_utils-1.19.2-0.4.50.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file modnametooltip-1.19-1.19.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file moonlight-1.19.2-2.2.43-forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file moredragoneggs-3.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file moreoverlays-1.21.9-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file MouseTweaks-forge-mc1.19-2.23.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
